post_id,date,year,nhood,city,county,price,beds,baths,sqft,room_in_apt,title,descr
pre2013_98061,20041023,2004,excelsior / outer mission,san francisco,san francisco,2100,4.0,,,0,$2100 / 4br - House Showing Sunday 2-4 PM,
4004145716,20130823,2013,sea cliff,san francisco,san francisco,1900,2.0,1.0,1000,0,    Aug 23 Lovely & cozy 2BR/1BA beach house in beautiful Seacliff!    $1900 / 2br - 1000ft² -    (santa cruz)   pic img map   ,
pre2013_145605,20060221,2006,presidio hts / laurel hts / lake st,san francisco,san francisco,2100,1.0,,,0,$2100 / 1br - HUGE 1 BEDRM AVAIL NOW,
5384690648,20160108,2016,santa cruz,santa cruz,santa cruz,4395,3.0,,2600,0,Oca 7 Large Newer Home by the Beach+ Big Yard   $4395 / 3br - 2600ft2 -    (santa cruz)   resim har.    [×] [geri al],
pre2013_59532,20120319,2012,outer richmond,san francisco,san francisco,1800,1.0,,,0,$1800 / 1br - -----> Newly Painted 1 Bedroom San Francisco House in Richmond Dist. -,
pre2013_39679,20111129,2011,redwood city,redwood city,san mateo,1295,1.0,,400,0,$1295 / 1br - 400ft² -  Beautiful 1br Au Pair with new laminate floors in Redwood City hills.,
4611869899,20140810,2014,pittsburg / antioch,pittsburg,contra costa,2200,5.0,3.0,2252,0,Delta Views! Quiet Single Family House 5 BR 3 Bath,"Contact info:Vera show contact infoDelta Views! Quiet Single Family House 5 BR 3 Bath2405 Shelbourne Way, Antioch, CA 94531$2,200/mo KEY FEATURESYear Built:  1993Sq Footage:  2252 sqft.Bedrooms:  5 BedsBathrooms:  3 BathsParking:  2 GarageLease Duration:  1 YearDeposit:  $2,200Pets Policy:  Cats & Dogs OKLaundry:  NoneProperty Type:  Single Family HouseDESCRIPTIONDelta Views! Formal Living & Dining Rm w/ 2-way Fireplace. Master Bdrm w/ Retreat. Master Bath w/ Jetted Tub. Office/Den could be 4th Bedroom. Extra room in the garage. Dishwasher is included. Washer & dryer hook-up in unit. Close to freeway access.RENTAL FEATURESLiving roomDining roomWalk-in closetMaster bathFamily roomStorage spaceOfficeRange / OvenDishwasherYardFenced yardLawnPorchSprinkler systemCentral A/CDouble pane / Storm windowsCable-readyFireplaceHigh / Vaulted ceilingJetted tubCOMMUNITY FEATURESOff-street parkingOn-street parkingGarage - AttachedOPEN HOUSE8/10 (sun) 6:00-7:00 PM8/12 (tue) 5:30-7:00 PM8/14 (thur) 5:30-7:00 PM8/17 (sun) 2:00-4:00 PM8/19 (tue) 5:30-7:00 PM8/21 (thur) 5:30-7:00 PM8/24 (sun) 2:00-4:00 PM8/26 (tue) 5:30-7:00 PM8/28 (thur) 5:30-7:00 PM8/31 (sun) 2:00-4:00 PMContact info: Vera show contact info"
pre2013_163468,20060411,2006,napa county,napa county,---,1595,3.0,,,0,$1595 / 3br - Brand NEW Apartments,
pre2013_126012,20040923,2004,nob hill,san francisco,san francisco,825,0.0,1.0,,0,"$825  - Studio top floor, hdwd floors, basic kitchen & bath, nr fin dist ",
pre2013_153069,20060815,2006,oakland hills south,oakland,alameda,3050,4.0,,,0,$3050 / 4br - RIDGEMONT VIEW HOME,
